Stage,Pipeline Layer,Dataset / Source,Records,Columns,What It Contains,Why It Matters
1,Raw POS Export Layer,Square POS exports,Multiple raw files,Different schemas,Original operational data from POS exports.,"Initial source before cleaning, standardization, and consolidation."
2,Clean Transaction Layer,transactions_clean.csv,"39,505 records",35 columns,"Transaction-level payment, sales, tips, refunds, fees, staff, device, and location data.","Useful for financial validation and transaction-level audit, but too granular for direct daily forecasting."
3,Clean Item Layer,items_clean.csv,"138,093 records",21 columns,"Item-level product sales, categories, quantities, discounts, taxes, employees, and payment references.","Useful for product/menu analysis, but not used directly as the final daily demand forecasting table."
4,Clean Order Layer,orders_clean.csv,"89,441 records",14 columns,Order-level and item/order structure data.,Useful to understand order behavior and product composition.
5,Clean Section Layer,sections_clean.csv,"9,070 records",11 columns,"Section/table-level sales, guests, tips, refunds, discounts, and net sales.",Useful for operational context and service-area analysis.
6,Daily Restaurant Sales Layer,gold_daily_sales_by_location2.csv,509 records,12 columns,"Daily aggregation of sales, transactions, tips, refunds, and location.",Converts detailed POS records into daily demand behavior.
7,Modeling Dataset,twisted_modeling_dataset.csv,474 records,50 columns,"Daily POS data enriched with calendar, holiday, weather, event, and seasonality variables.",Main structured dataset for SARIMAX and external-variable forecasting experiments.
8,Enhanced KPI Modeling Layer,twisted_kpi_modeling_dataset.csv,474 records,115 columns,"Expanded dataset with candidate engineered variables, lag features, rolling averages, KPI ratios, and staffing pressure indicators.",This is a candidate feature layer. It does not mean all 115 columns were used as final model features.
9,Dashboard Annual Dataset,annual_sales_dashboard_dataset.csv,474 records,11 columns,"Clean dashboard-ready annual sales, transactions, average ticket, weather exposure, holidays, events, and season.",Used for annual behavior and seasonal business visualization.
10,Dashboard Final Holdout Dataset,capstone_dashboard_dataset.csv,30 records,14 columns,"Actual vs predicted net sales, transactions, average ticket, KPI-based sales, errors, and accuracy.",Used for final holdout forecast and manager-facing KPI forecast visualization.
11,Annual Backtesting Dataset,annual_backtesting_forecast_dataset.csv,202 records,7 columns,Rolling backtesting actual vs forecast values by validation month.,Used to show that model evaluation was not based only on a single 30-day window.
