Comparison Group,Paper / Benchmark Result,Metric Used,Reported Quantitative Result,Directly Comparable?,Our Evidence,Better / Not Better / Not Comparable,Interpretation,How to Explain It
Internal Baseline Comparison,Seasonal Naive Baseline,MAPE,22.48%,"Yes - same dataset, same target, same test window",Hybrid SARIMAX + RF MAPE = 16.20%,Our model is better than the internal baseline.,Direct improvement: approximately 27.9% relative MAPE reduction from baseline to hybrid model.,Strongest quantitative evidence because the comparison is internally controlled.
Internal SARIMAX Comparison,SARIMAX Basic,MAPE,18.50%,"Yes - same dataset, same target, same test window",Hybrid SARIMAX + RF MAPE = 16.20%,The hybrid model is better than SARIMAX Basic.,Direct improvement: approximately 12.4% relative MAPE reduction from SARIMAX Basic to Hybrid SARIMAX + RF.,Shows that Random Forest residual correction improved the interpretable SARIMAX core.
Shah et al. (2025),XGBoost achieved strongest performance; M10 feature set was strongest.,"RMSE, MAE, MSE",Paper does not report directly comparable MAPE for our target.,"Partially - same restaurant forecasting domain, but different dataset, target, and metrics.",Hybrid SARIMAX + RF MAPE = 16.20%,Not directly comparable as better/worse.,"Our improvement is methodological: interpretable SARIMAX-based framework, POS sales forecasting, feature engineering, and operational dashboard.","Paper supports using previous demand, holidays, weather, day-of-week, and feature engineering."
Tanizaki et al. (2020),Forecasting supports employee placement and inventory/material ordering.,Forecasting accuracy for order/inventory quantity,No directly comparable MAPE reported in our literature table.,No - different operational target and evaluation setup.,"Dashboard connects forecasts to staffing, menu preparation, inventory readiness, and promotions.",Not directly comparable as better/worse.,Our improvement is operational: forecasts are translated into manager-facing decision support.,Useful to justify operational value rather than direct metric superiority.
Posch et al. (2022),Interpretable POS-based Bayesian models for food and beverage sales.,Predictive comparison against established forecasting approaches,No directly comparable MAPE reported in our literature table.,"Partially - similar POS forecasting context, but different model family and datasets.",SARIMAX Basic MAPE = 18.50%; Hybrid SARIMAX + RF MAPE = 16.20%,Cannot claim direct superiority.,Our improvement is combining interpretability with external variables and residual ML correction.,"Paper supports interpretability; our project extends it with weather, event, KPI, and dashboard layers."
Tsoumakas (2019),Survey of food sales prediction methods and design decisions.,Multiple metrics reviewed,No empirical model result because it is a survey.,"No - survey paper, not an empirical benchmark.","Pipeline: 276,109 cleaned POS records and 81 source columns transformed into forecasting datasets.",Not applicable.,Our improvement is implementation: we operationalized design decisions into a real restaurant data pipeline and model comparison workflow.,"Best used to justify granularity, target definition, features, metrics, and validation strategy."
Choi et al. (2022),Review found restaurant forecasting often focuses on model building and accuracy; hybrid models are common.,Review-based analysis,No empirical model result because it is a review.,"No - review paper, not an empirical benchmark.",Hybrid SARIMAX + RF MAPE = 16.20% plus decision-support dashboard.,Not applicable.,"Our improvement is practical: model results are translated into staffing, preparation, promotions, and operational interpretation.",Supports the gap that restaurant forecasting needs practical decision support.
Chae et al. (2024),Advanced ML/DL models reported up to 95% improvement.,MAPE,Up to 95% improvement,"No - different dataset, model scale, target, and benchmark definition.",Baseline MAPE 22.48%; Hybrid SARIMAX + RF MAPE 16.20%,We should not claim our result is better.,"Our improvement is practical interpretability and deployment, not beating a large-chain ML/DL benchmark.",Fair interpretation: Chae supports advanced modeling value; our project prioritizes explainability and stakeholder use.
Rodrigues et al. (2024),Short-term demand forecasting reduced food waste by 14-52%.,"MAE, RMSE, MAPE; operational waste reduction",14-52% waste reduction,"No - their result is waste reduction, not our net sales MAPE.","Dashboard supports staffing, menu preparation, inventory readiness, and planning.",Cannot compare directly as better/worse.,Our improvement is adapting short-term forecasting from catering/waste reduction to restaurant POS sales and decision support.,Fair interpretation: their operational result motivates our decision-support direction.
Schmidt et al. (2022),Restaurant POS sales forecasting; around 20% sMAPE in literature table.,"MAE, sMAPE",Approximately 20% sMAPE,"Partially - similar restaurant sales forecasting, but MAPE and sMAPE are not identical.",Hybrid SARIMAX + RF MAPE = 16.20%,"Our result appears competitive, but not strictly directly comparable.","Our improvement is adding interpretable SARIMAX, hybrid residual correction, and dashboard deployment.","Use cautiously: competitive error level, but different metric and dataset."
Hossain et al. (2025),ML models outperform statistical models; interpretability trade-off remains.,"MAE, RMSE, MAPE",ML outperforms statistical approaches,"Partially - same type of metrics, but different dataset and models.",SARIMAX Basic MAPE 18.50%; Hybrid SARIMAX + RF MAPE 16.20%,Our hybrid result supports the same pattern: adding ML residual correction improved the statistical model.,Our improvement is balancing interpretability and accuracy instead of using ML as a black box.,Good conceptual comparison for accuracy vs interpretability.
Seyam et al. (2025),Stacked ensemble achieved R2 close to 0.99.,"MAE, MAPE, R2",R2 approximately 0.99,"No - different data, target, and highly complex ensemble setup.",Hybrid SARIMAX + RF preserves interpretability while improving MAPE to 16.20%.,We should not claim our result is better.,"Our improvement is practical feasibility: simpler, explainable, deployable workflow for small/medium restaurant settings.",Fair interpretation: their result shows what complex ensembles can achieve; our contribution is operational practicality.
